FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
1576656,369168,2016,1662,1622,0,552329,143999,403,302,743,362,214,178
2635519,432282,4868,1959,6416,16529,1880461,332808,1991,786,2199,5739,120,201
5061161,588651,3580,2260,7784,2570,4664645,589768,2089,1222,5275,1827,96,201
1623708,297708,1731,728,3526,724,2376307,387186,1143,578,1886,1266,73,203
1954920,331778,2801,1758,4129,5015,2306459,411062,1982,871,2795,2817,90,204
7384432,1964265,8541,7997,38423,5742,4370994,1311406,2843,2479,11444,3600,142,205
2453821,358208,1920,1791,9737,3946,3255109,436281,1128,1262,6363,2785,86,205
3736228,727376,8849,2416,9351,6967,2746832,609203,3579,993,4039,3086,111,206
3689615,992677,5241,2602,9675,9841,3765100,1003618,2802,1465,6172,4842,91,207
4428332,833973,4780,3259,9537,6200,3094187,718064,1817,906,2953,2362,130,208
3956936,880977,6841,2019,3988,23975,3579568,837215,3234,707,2255,8050,116,209
11820036,3394030,19910,4025,11183,45971,5648381,1733598,4612,940,3431,7719,214,209
1762233,181528,1624,514,1677,2373,2580772,224852,1090,362,1169,1573,60,209
2116015,269989,1323,574,2697,1489,2609324,326875,1228,392,1890,1399,67,209
2335505,442071,2123,1867,5387,4032,2293096,424313,1218,764,2548,2008,76,210
3429195,577896,4435,1965,10707,4643,2494954,430160,1391,745,4974,1703,112,213
2979994,991015,7557,2791,10539,3617,2157956,598346,2728,1063,3928,1991,121,215
2315848,511234,2661,1231,4944,4152,2690556,676963,1903,975,3820,3131,87,215
2134466,288409,2124,873,3551,6362,2523134,267734,1462,461,1932,2803,88,215
1995182,323629,1887,1627,9594,2595,2440441,327298,1016,1463,7761,1480,76,215
11025194,1610925,13376,8133,39458,19903,6519636,829100,3832,2458,11270,5663,160,215
10387933,2985902,18564,9491,43884,25478,4896117,1220316,4649,2218,9946,4912,215,215
3607675,732671,2715,3757,20001,4930,2633830,635206,1208,1770,10176,3764,90,215
9647553,2765027,11593,11100,49099,26843,6231488,1909566,4373,4421,20126,9176,167,219
1524677,298378,2231,784,2684,2046,2275400,443303,1966,605,1850,1488,65,219
2001455,528791,2459,1324,5112,4051,2690819,591442,1275,703,2618,1958,78,219
9555139,2156418,30209,5853,12797,38906,4399436,1091100,9807,1260,3819,7706,175,219
2974752,774384,6165,2518,8966,15070,2623186,470869,1701,652,2885,4655,126,219
1925590,241629,3644,1324,4602,11032,2162707,284348,2301,705,2948,6019,72,219
1650704,528009,1454,1161,4834,1592,2177119,659873,975,631,3505,1458,74,220
2844968,854762,3451,1980,8074,8529,2977595,952872,1960,1065,5051,4189,89,220
2005478,444268,2793,1254,6353,5500,2318108,522669,1790,938,3734,3302,67,221
9244471,2625558,19643,6336,19615,31837,3567215,975290,3864,1211,3186,5749,233,222
1828055,151047,1493,1685,7576,2311,2354309,184956,977,1224,6481,986,67,224
1600644,300588,1457,1019,2691,2411,1961383,391560,736,542,1390,1693,71,224
2707527,674508,3522,929,4008,9255,2412461,594781,1803,498,1735,2914,106,224
3341021,664105,2978,1472,5672,7590,3383058,562595,1359,803,2551,3670,123,224
1899875,423851,5109,1768,3895,6408,2091663,432444,2487,933,2473,2833,86,224
1642637,387415,2761,1121,5819,5591,2087936,429110,1649,672,3341,3051,72,225
6823556,1568341,12610,3339,11686,23838,3162356,996407,4262,822,2897,6284,181,225
1983205,388218,4003,982,3282,3038,2878995,478325,2244,746,2073,1696,70,225
2328643,179508,2226,2609,13043,2741,3190174,212953,1230,1700,10437,1675,81,228
1908866,184709,2094,1913,8080,5548,2523453,232723,1578,1602,6044,2946,68,228
3349612,988302,3260,1949,6895,5791,3863307,1047987,1973,1117,3658,3406,84,228
6040293,1509644,7961,11551,56173,4164,4827231,1456109,3301,4918,23362,3637,103,230
7101716,1713360,9499,4762,17235,24775,4275619,876728,3178,1150,4687,8161,167,230
7718661,1896618,8915,3410,13610,13264,4476630,1329607,3448,1411,5108,4271,130,231
3534863,449291,4796,2910,11800,8610,2879718,461605,2135,1025,5166,3301,108,231
1842236,372903,1744,1500,6551,887,2015966,462647,1217,980,4336,1066,75,232
1847017,265061,2770,1276,6485,9209,2853191,296348,1539,816,3692,5252,87,232
1838502,556772,1571,5786,30898,3441,2542559,697135,1148,4527,24327,1853,99,238
8941979,2801123,19016,34607,185669,39270,4282393,1532947,6444,11478,59961,11044,172,238
10100247,3853947,26600,35344,184922,58425,4827815,1952563,5870,11149,60654,13155,215,238
2217289,705301,2700,1817,10651,3141,1681283,688946,1401,716,3705,1940,95,240
1658457,298326,2928,1948,6714,8353,1794977,238276,1570,742,3610,4808,91,241
4542394,1282614,6042,3008,11020,12005,3382287,986874,2375,1037,4021,4092,120,242
1502850,378776,7121,1708,4118,10764,1635734,351914,2823,615,2182,5311,87,242
2424692,376173,2804,1627,6276,5392,2964683,450439,1791,969,4540,2919,97,246
1889091,257938,1977,1266,3783,3586,2689822,349638,1387,727,2869,1686,62,249
3317592,558233,3367,2245,11307,3678,1988517,271671,1162,704,3313,1785,133,249
7420887,2084813,9955,4996,21856,11792,5734545,1645068,3863,1823,7657,4826,128,252
1807268,289464,2566,1128,5881,5220,2355372,291616,1186,792,4039,2153,82,252
1943157,171868,1948,1369,6253,4809,3178761,218333,1403,1165,5181,3293,62,252
4134978,603156,5032,2651,11943,7983,3600768,639398,2696,1522,6270,3929,93,252
2686982,577480,4768,2796,13313,8595,2957456,490122,2573,1410,4058,3329,103,252
1962990,387905,2174,1809,8103,2256,2278953,496606,1391,1145,5194,1245,77,256
1806200,308013,1406,2186,10258,998,1808157,354522,783,1400,5391,1691,80,258
2420731,958682,3994,7047,33888,5130,1750523,786321,1834,2634,12304,2885,102,258
7610831,2294903,11995,7542,34001,8887,6678771,2363578,5144,4290,21026,4732,108,258
4481163,1264504,6904,9063,46380,10671,2625140,629483,1836,2328,12970,3428,145,258
2754978,1049553,7528,3934,14510,7321,2588907,796889,4100,1269,5137,2692,124,264
4511530,1012942,5890,2405,11415,6854,3041717,818870,2748,1079,5369,2984,103,264
2852342,323458,2468,2097,7443,5336,3013388,386609,1644,1072,4615,2410,101,268
2628350,293650,1389,2261,9710,1851,2604174,344347,965,1038,6224,1032,83,269
5081971,954825,6449,2577,11592,10328,4027843,805711,2707,994,5074,4736,102,270
2312657,314953,1885,1278,5525,2016,2955178,422802,914,742,4519,1372,83,270
2837380,780134,3543,1555,5815,6028,2607140,890481,2329,834,3120,3317,97,270
1615250,308279,2417,490,2618,4964,1986324,293282,1365,453,1800,2442,77,270
15223691,3784100,20184,10327,42496,21545,6352805,1496155,5398,1894,9119,5175,203,270
8754111,1620629,11549,3230,10500,28805,3810516,659480,2478,880,3105,5598,223,271
7833064,2508172,17561,3973,12178,39108,3349010,837930,4307,944,3503,8759,235,271
3505466,1523333,9178,2959,6866,13548,2053167,1005919,4882,1306,3181,5263,105,271
3809188,862782,7172,3219,14223,13273,2462066,607148,2641,1090,5276,4840,134,272
1521984,263748,2426,3015,15659,3184,1815737,296144,1335,1805,10191,2304,72,272
2752699,531076,4508,2392,8715,10343,2179217,425223,2258,975,3658,4811,107,274
2626707,814729,4031,2844,13191,3570,2296417,637578,2059,1013,4919,1838,110,275
2300965,487125,3729,1826,6979,9339,1963735,509206,1835,739,3013,3625,98,277
5628635,689178,4426,3013,11489,6857,6352478,720686,2239,1712,5240,3536,91,277
11586980,4548168,24786,8265,31036,43554,5320778,1513012,5000,1323,5343,7210,333,280
2735670,226038,2013,1508,4731,3126,3145315,277659,1690,890,3391,1611,73,280
1680885,268207,546,771,3660,718,2540009,383731,516,675,3425,468,63,282
2815141,556840,4805,2662,16751,11042,2311938,412446,2434,1250,6848,6306,107,287
2995069,627333,4284,2862,15053,12535,2717908,693973,2197,1450,8094,4589,83,291
6073589,2240507,18975,4370,11060,16553,3286522,1662464,5306,1148,3399,4908,137,292
3500611,558924,3941,1687,6195,9246,2792279,394593,1560,599,3303,3265,125,292
2150044,642274,2973,1549,5677,1913,2205223,510218,1736,861,3271,984,90,292
2035175,242068,1809,1617,6266,2772,2434800,230162,1090,943,4091,1366,77,293
2423060,731566,3283,3185,15164,4547,2464239,653791,1662,1293,6091,2035,92,293
5797785,969415,8299,6159,26810,8908,4169375,569080,3544,2373,10604,3517,133,293
1767363,385999,1846,1695,6325,2153,1927389,397989,1259,950,4241,1639,89,294
2161375,562833,2501,4222,17907,6236,2822109,632395,1891,2712,12620,2451,92,295
5128059,592908,5677,2664,11650,6243,4773431,552190,2357,1270,5584,3211,97,295
9386726,3324331,19500,8856,29731,50953,4946964,1904214,4939,2371,8877,10412,170,297
3757685,720266,3702,9075,47253,3483,2343829,480827,1636,2976,16949,2486,124,297
1956281,212588,2535,1727,6691,2423,2125822,253146,1565,1084,4043,1434,74,308
2018530,155709,2405,1688,8268,1177,2637967,182961,1350,1477,6715,1713,63,311
5725170,1480755,14643,9239,36924,24041,5038274,1139694,5557,3600,18390,7921,125,314
2035647,291270,1263,1985,7144,413,1823977,238287,738,1055,4107,716,91,314
5895394,949618,9098,2725,9143,11466,3982568,685136,3384,1065,3269,3462,156,316
1664277,317785,2599,1251,7042,7150,2141116,332736,1240,813,4212,3423,80,317
4761674,1033429,6070,2329,9601,6434,3538288,1088671,3061,1149,4678,2355,102,318
1763763,259304,2198,696,3923,4875,2234424,316224,1337,592,2881,2883,71,318
1668516,238391,1918,938,2809,2823,2075207,298377,1094,495,1726,1719,69,319
1622953,222548,2601,1604,6414,1857,1937288,260366,1481,817,3359,1369,82,320
4611449,1418473,10355,3890,13850,9476,2817435,1078775,3623,1271,5597,3474,127,320
9909288,2151577,13295,4946,20848,12192,5625518,1075844,3491,1361,5312,2387,185,320
3107287,796072,6423,1771,8318,14182,2687299,611016,2641,940,2741,5689,110,321
2610486,399036,1725,2096,10714,2533,3088199,504040,1349,1396,8070,1998,82,322
1845116,144130,1646,2957,9415,3006,2368508,157651,1414,1738,6544,2739,86,323
2020183,237878,1362,763,2970,3886,2590814,324373,1072,547,2067,2851,80,325
1725817,271660,2658,1585,9025,3229,2030077,310243,1856,1023,6798,2392,81,327
3980107,618625,4018,3240,15071,2529,2820531,446644,1927,1293,5744,1412,112,327
1820160,195821,1701,1865,6842,3277,1983200,222886,1238,1276,5303,1746,83,332
1615482,430884,3066,1327,4243,6087,1786473,391388,1725,628,2754,2911,90,334
3035578,765364,2395,1833,7136,3497,3099124,772807,1255,814,3693,2406,81,335
10189611,1734887,21465,6533,23387,39851,5015603,709095,5293,1535,5072,9415,179,337
3840062,362734,3029,3027,9825,4256,4558211,447022,2243,1607,6073,2329,95,338
2051746,256693,2105,1536,5358,8506,2675896,279852,1733,1046,4170,4800,83,338
2807465,441082,3771,4572,20904,12918,2577268,462964,2072,2695,10453,6917,88,338
1644508,305012,1788,1822,10586,6998,1678817,341842,1073,1385,6832,4590,76,338
5676688,1941130,11907,5160,18052,24359,4686800,1902198,4082,2047,9031,8245,127,339
5718864,1098789,10747,4022,7871,12927,3010148,587379,3445,963,2754,3761,153,339
2124113,186851,1459,779,2687,1812,2854450,249553,1177,482,1959,989,76,341
