FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
2518499,534838,7175,845,488,2727,2157157,617179,4304,495,318,1442,81,224
1981353,328737,1887,435,366,1139,2320712,433880,1372,210,373,624,75,227
1850040,254481,2468,150,645,1005,2002139,346747,1423,151,534,612,84,230
2210362,317805,5220,642,1883,25899,2696095,402827,3855,489,1077,13646,85,230
1891986,280253,4019,371,680,2772,2817258,376969,2851,281,359,1456,77,230
1697099,277525,1604,557,905,933,2028759,334710,1699,362,465,794,88,231
3500781,361850,13011,1417,0,240656,3481503,404672,7612,816,553,115963,76,232
1684723,224071,7279,757,705,74556,1515626,276168,3873,469,527,36825,85,232
2615614,192133,12583,816,180,55980,2488478,200350,7522,442,452,23323,80,233
2033286,377837,4242,568,342,4475,2619849,515488,3085,428,425,2733,65,233
1700437,341646,7925,1478,0,356697,1744088,301417,4769,619,247,146359,101,233
3539019,841691,15381,1708,0,1021069,2626237,680762,6961,789,1424,404621,113,233
1832420,552137,5680,616,689,21982,1976270,503927,2990,289,450,8943,89,233
10617803,2345641,56218,5888,0,1758267,4379513,1121047,15002,1443,1268,524656,232,233
7764505,1785885,33000,6211,5003,47972,4071944,860909,8509,1573,1250,12278,174,233
1681487,292893,9095,1279,0,269386,1652040,291981,6372,654,1036,128085,82,233
12340253,2708371,38181,4948,0,429739,5640814,1275916,13250,1476,960,144796,177,233
13949246,3401397,67847,8844,4659,1327826,9833822,2189919,27486,4483,10049,437603,144,233
2114816,315926,7974,847,618,17972,2562599,433456,5680,755,1045,9781,63,233
3780043,427007,18926,2261,1015,85132,4143690,453833,11428,1145,468,40359,91,233
15036002,3348832,140891,11398,4668,293341,7249769,1221990,39757,2816,1775,69373,205,233
8405154,1972247,35479,3062,0,451363,3018564,732755,6025,605,586,183251,209,235
3991753,970648,22146,2527,0,739343,2471841,807450,9123,1100,810,277344,116,235
6105894,876739,23697,2605,0,949146,4549937,730173,10027,1112,734,445480,134,235
14636982,3964734,55232,7386,5227,427477,8452146,2876350,18709,2413,2989,110826,139,235
7712300,1445952,56732,4907,0,579551,4789372,1056447,23503,2262,711,186272,110,236
