FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
3986860,1089156,13435,1410,905,21160,4206122,984194,7528,702,868,9498,109,220
3511303,600722,14386,1410,1028,13632,2328964,397302,5700,573,521,4226,114,222
1701404,196545,6535,615,679,8027,1981752,254336,4842,434,645,4478,65,224
7080187,1514841,9498,1338,1090,15625,4659203,1421497,4424,504,676,5227,125,230
2292775,431016,9161,1276,905,17667,1789854,432941,5355,673,590,8740,97,230
1800443,291514,5331,243,524,12470,2075861,384551,3977,264,466,5981,77,232
3619490,648693,176561,11147,1791,555347,2685233,580094,133173,8353,2148,242064,99,233
6878029,995155,221186,14651,0,1345664,5960547,574205,155860,9580,675,466064,120,233
4024570,780382,18159,1579,889,15373,4148264,726671,8315,792,538,5385,94,233
9316867,2110563,276151,19230,163,1333051,5191690,1416520,145055,9939,1010,538368,140,233
2538934,698689,16335,1524,0,668975,1550573,396782,4056,378,1522,310418,150,254
6251705,1609027,23405,2525,1334,66898,5079222,1485638,10656,1039,815,24993,111,254
8745350,1495312,33388,2508,2581,29176,5720495,996745,7741,747,1652,9885,187,254
11960868,3341570,78563,8303,0,3206945,3999662,1552230,18959,2152,4632,1112492,212,254
5497574,1209223,30845,1373,398,35622,4133035,902533,13285,1013,303,10841,141,254
5748874,1806566,33344,2791,2328,54972,3573048,1190444,9155,959,1037,14666,139,255
2272196,172105,2327,252,301,1937,3303810,242630,1941,213,338,1116,75,255
7132789,1795734,33750,3007,662,349642,5414426,1062956,12009,1168,740,108703,156,255
11844548,2921538,209714,14438,0,1705072,5216384,1497097,130391,8146,2056,682447,196,255
4547855,718788,16239,1302,0,223887,2137870,438189,4252,417,509,95966,145,256
3580251,554805,117754,8035,0,1373251,3661310,647965,75000,5515,289,687116,75,256
13437352,3748289,61728,6973,4537,61309,6905949,2351440,19581,1954,1516,19403,179,256
5503049,1260650,146331,10073,0,1628407,4732905,1083890,68518,4816,1419,505097,115,256
3605909,577907,13396,787,0,44045,3483515,543241,7560,539,616,22660,88,256
2453517,627843,16041,1697,458,38765,2338904,598273,8469,796,1055,18164,89,257
4473635,1064640,165241,10455,0,1400892,3696229,878447,123859,7842,674,509612,110,259
1744625,245455,4459,472,692,4004,2432031,331761,3638,412,447,2520,77,261
1802650,303478,5055,615,452,3253,1754843,322200,2517,296,417,1773,81,261
3238110,756169,14854,1537,692,46049,2432493,615329,7765,865,597,16956,125,262
8940603,1750222,29826,2641,335,112597,5656536,1354269,8252,932,721,47199,132,262
2414826,254427,1353,123,91,1588,3354613,329691,1043,142,270,1512,83,264
1825353,360550,3292,474,357,6057,2311483,397447,1970,336,322,3068,68,266
3205207,364727,11267,1807,1190,5826,2276844,249520,3834,638,454,1915,110,266
1993268,274554,73162,5287,0,467893,2760604,342174,53449,3614,491,212735,80,268
4405020,1093951,15617,1743,729,24276,4060554,1016804,7512,821,748,10838,103,271
1546866,399466,262606,17818,0,3072907,1504009,344036,209833,13400,3857,1157267,98,272
2438590,517615,9262,1333,0,231870,2410021,593915,5586,741,766,125065,82,273
1759565,495612,86145,5228,1596,40790,1328972,354975,54313,3256,932,18227,114,274
3205364,839245,289911,18161,0,2394956,2490576,581903,203362,12725,4284,951172,100,275
